PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	PG	WC	SC	GA	UT	PM
J	Huang, C; Davis, LS; Townshend, JRG				Huang, C; Davis, LS; Townshend, JRG			An assessment of support vector machines for land cover classification	INTERNATIONAL JOURNAL OF REMOTE SENSING												The support vector machine (SVM) is a group of theoretically superior machine learning algorithms. It was found competitive with the best available machine learning algorithms in classifying high-dimensional data sets. This paper gives an introduction to the theoretical development of the SVM and an experimental evaluation of its accuracy, stability and training speed in deriving land cover classifications from satellite images. The SVM was compared to three other popular classifiers, including the maximum likelihood classifier (MLC), neural network classifiers (NNC) and decision tree classifiers (DTC). The impacts of kernel configuration on the performance of the SVM and of the selection of training data and input variables on the four classifiers were also evaluated in this experiment.																	0143-1161					FEB	2002	23	4					725	749		10.1080/01431160110040323						WOS:000173109000009		
J	Blankertz, B; Tomioka, R; Lemm, S; Kawanabe, M; Muller, KR				Blankertz, Benjamin; Tomioka, Ryota; Lemm, Steven; Kawanabe, Motoaki; Mueller, Klaus-Robert			Optimizing spatial filters for robust EEG single-trial analysis	IEEE SIGNAL PROCESSING MAGAZINE												Due to the volume conduction multichannel electroencephalogram (EEG) recordings give a rather blurred image of brain activity. Therefore spatial filters are extremely useful in single-trial analysis in order to improve the signal-to-noise ratio. There are powerful methods from machine learning and signal processing that permit the optimization of spatio-temporal filters for each subject in a data dependent fashion beyond the fixed filters based on the sensor geometry, e.g., Laplacians. Here we elucidate the theoretical background of the common spatial pattern (CSP) algorithm, a popular method in brain-computer interface (BCI) research. Apart from reviewing several variants of the basic algorithm, we reveal tricks of the trade for achieving a powerful CSP performance, briefly elaborate on theoretical aspects of CSP, and demonstrate the application of CSP-type preprocessing in our studies of the Berlin BCI (BBCI) project.				Muller, Klaus/C-3196-2013; Magazine, Signal Processing/E-9947-2015													1053-5888					JAN	2008	25	1					41	56		10.1109/MSP.200790.900,9						WOS:000251906900008		
J	Faith, JJ; Hayete, B; Thaden, JT; Mogno, I; Wierzbowski, J; Cottarel, G; Kasif, S; Collins, JJ; Gardner, TS				Faith, Jeremiah J.; Hayete, Boris; Thaden, Joshua T.; Mogno, Ilaria; Wierzbowski, Jamey; Cottarel, Guillaume; Kasif, Simon; Collins, James J.; Gardner, Timothy S.			Large-scale mapping and validation of Escherichia coli transcriptional regulation from a compendium of expression profiles	PLOS BIOLOGY												Machine learning approaches offer the potential to systematically identify transcriptional regulatory interactions from a compendium of microarray expression profiles. However, experimental validation of the performance of these methods at the genome scale has remained elusive. Here we assess the global performance of four existing classes of inference algorithms using 445 Escherichia coli Affymetrix arrays and 3,216 known E. coli regulatory interactions from RegulonDB. We also developed and applied the context likelihood of relatedness (CLR) algorithm, a novel extension of the relevance networks class of algorithms. CLR demonstrates an average precision gain of 36% relative to the next-best performing algorithm. At a 60% true positive rate, CLR identifies 1,079 regulatory interactions, of which 338 were in the previously known network and 741 were novel predictions. We tested the predicted interactions for three transcription factors with chromatin immunoprecipitation, confirming 21 novel interactions and verifying our RegulonDB-based performance estimates. CLR also identified a regulatory link providing central metabolic control of iron transport, which we confirmed with real-time quantitative PCR. The compendium of expression data compiled in this study, coupled with RegulonDB, provides a valuable model system for further improvement of network inference algorithms using experimental data.					Hayete, Boris/0000-0002-2521-1889												1544-9173					JAN	2007	5	1					54	66	e8	10.1371/journal.pbio.0050008						WOS:000245243100007	17214507	
J	Huang, GB; Wang, DH; Lan, Y				Huang, Guang-Bin; Wang, Dian Hui; Lan, Yuan			Extreme learning machines: a survey	INTERNATIONAL JOURNAL OF MACHINE LEARNING AND CYBERNETICS												Computational intelligence techniques have been used in wide applications. Out of numerous computational intelligence techniques, neural networks and support vector machines (SVMs) have been playing the dominant roles. However, it is known that both neural networks and SVMs face some challenging issues such as: (1) slow learning speed, (2) trivial human intervene, and/or (3) poor computational scalability. Extreme learning machine (ELM) as emergent technology which overcomes some challenges faced by other techniques has recently attracted the attention from more and more researchers. ELM works for generalized single-hidden layer feedforward networks (SLFNs). The essence of ELM is that the hidden layer of SLFNs need not be tuned. Compared with those traditional computational intelligence techniques, ELM provides better generalization performance at a much faster learning speed and with least human intervene. This paper gives a survey on ELM and its variants, especially on (1) batch learning mode of ELM, (2) fully complex ELM, (3) online sequential ELM, (4) incremental ELM, and (5) ensemble of ELM.				Huang, Guang-Bin/A-5035-2011	Huang, Guang-Bin/0000-0002-2480-4965												1868-8071	1868-808X				JUN	2011	2	2					107	122		10.1007/s13042-011-0019-y						WOS:000209203200006		
J	Lewis, DD; Yang, YM; Rose, TG; Li, F				Lewis, DD; Yang, YM; Rose, TG; Li, F			RCV1: A new benchmark collection for text categorization research	JOURNAL OF MACHINE LEARNING RESEARCH												Reuters Corpus Volume I ( RCV1) is an archive of over 800,000 manually categorized newswire stories recently made available by Reuters, Ltd. for research purposes. Use of this data for research on text categorization requires a detailed understanding of the real world constraints under which the data was produced. Drawing on interviews with Reuters personnel and access to Reuters documentation, we describe the coding policy and quality control procedures used in producing the RCV1 data, the intended semantics of the hierarchical category taxonomies, and the corrections necessary to remove errorful data. We refer to the original data as RCV1-v1, and the corrected data as RCV1-v2. We benchmark several widely used supervised learning methods on RCV1-v2, illustrating the collection's properties, suggesting new directions for research, and providing baseline results for future studies. We make available detailed, per-category experimental results, as well as corrected versions of the category assignments and taxonomy structures, via online appendices.																	1532-4435					APR	2004	5						361	397								WOS:000236327400003		
J	Bioucas-Dias, JM; Plaza, A; Dobigeon, N; Parente, M; Du, Q; Gader, P; Chanussot, J				Bioucas-Dias, Jose M.; Plaza, Antonio; Dobigeon, Nicolas; Parente, Mario; Du, Qian; Gader, Paul; Chanussot, Jocelyn			Hyperspectral Unmixing Overview: Geometrical, Statistical, and Sparse Regression-Based Approaches	IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING												Imaging spectrometers measure electromagnetic energy scattered in their instantaneous field view in hundreds or thousands of spectral channels with higher spectral resolution than multispectral cameras. Imaging spectrometers are therefore often referred to as hyperspectral cameras (HSCs). Higher spectral resolution enables material identification via spectroscopic analysis, which facilitates countless applications that require identifying materials in scenarios unsuitable for classical spectroscopic analysis. Due to low spatial resolution of HSCs, microscopic material mixing, and multiple scattering, spectra measured by HSCs are mixtures of spectra of materials in a scene. Thus, accurate estimation requires unmixing. Pixels are assumed to be mixtures of a few materials, called endmembers. Unmixing involves estimating all or some of: the number of endmembers, their spectral signatures, and their abundances at each pixel. Unmixing is a challenging, ill-posed inverse problem because of model inaccuracies, observation noise, environmental conditions, endmember variability, and data set size. Researchers have devised and investigated many models searching for robust, stable, tractable, and accurate unmixing algorithms. This paper presents an overview of unmixing methods from the time of Keshava and Mustard's unmixing tutorial [1] to the present. Mixing models are first discussed. Signal-subspace, geometrical, statistical, sparsity-based, and spatial-contextual unmixing algorithms are described. Mathematical problems and potential solutions are described. Algorithm characteristics are illustrated experimentally.				Bioucas-Dias, Jose/C-5479-2009; Plaza, Antonio/C-4455-2008	Bioucas-Dias, Jose/0000-0002-0166-5149; Plaza, Antonio/0000-0002-9613-1659; Dobigeon, Nicolas/0000-0001-8127-350X												1939-1404	2151-1535				APR	2012	5	2			SI		354	379		10.1109/JSTARS.2012.2194696						WOS:000304612300002		
J	Papageorgiou, C; Poggio, T				Papageorgiou, C; Poggio, T			A trainable system for object detection	INTERNATIONAL JOURNAL OF COMPUTER VISION												This paper presents a general, trainable system for object detection in unconstrained, cluttered scenes. The system derives much of its power from a representation that describes an object class in terms of an overcomplete dictionary of local, oriented, multiscale intensity differences between adjacent regions, efficiently computable as a Haar wavelet transform. This example-based learning approach implicitly derives a model of an object class by training a support vector machine classifier using a large set of positive and negative examples. We present results on face, people, and car detection tasks using the same architecture. In addition, we quantify how the representation affects detection performance by considering several alternate representations including pixels and principal components. We also describe a real-time application of our person detection system as part of a driver assistance system.																	0920-5691	1573-1405				JUN	2000	38	1					15	33		10.1023/A:1008162616689						WOS:000088636500003		
J	Zhou, ZL; Licklider, LJ; Gygi, SP; Reed, R				Zhou, ZL; Licklider, LJ; Gygi, SP; Reed, R			Comprehensive proteomic analysis of the human spliceosome	NATURE												The precise excision of introns from pre-messenger RNA is performed by the spliceosome, a macromolecular machine containing five small nuclear RNAs and numerous proteins. Much has been learned about the protein components of the spliceosome from analysis of individual purified small nuclear ribonucleoproteins and salt-stable spliceosome 'core' particles. However, the complete set of proteins that constitutes intact functional spliceosomes has yet to be identified. Here we use maltose-binding protein affinity chromatography to isolate spliceosomes in highly purified and functional form. Using nanoscale microcapillary liquid chromatography tandem mass spectrometry, we identify similar to145 distinct spliceosomal proteins, making the spliceosome the most complex cellular machine so far characterized. Our spliceosomes comprise all previously known splicing factors and 58 newly identified components. The spliceosome contains at least 30 proteins with known or putative roles in gene expression steps other than splicing. This complexity may be required not only for splicing multi-intronic metazoan pre-messenger RNAs, but also for mediating the extensive coupling between splicing and other steps in gene expression.																	0028-0836					SEP 12	2002	419	6903					182	185		10.1038/nature01031						WOS:000177931200045	12226669	
J	Andrieu, C; de Freitas, N; Doucet, A; Jordan, MI				Andrieu, C; de Freitas, N; Doucet, A; Jordan, MI			An introduction to MCMC for machine learning	MACHINE LEARNING												This purpose of this introductory paper is threefold. First, it introduces the Monte Carlo method with emphasis on probabilistic machine learning. Second, it reviews the main building blocks of modern Markov chain Monte Carlo simulation, thereby providing and introduction to the remaining papers of this special issue. Lastly, it discusses new interesting research horizons.																	0885-6125	1573-0565				JAN-FEB	2003	50	1-2					5	43		10.1023/A:1020281327116						WOS:000178037200001		
J	Rakotomamonjy, A; Bach, FR; Canu, S; Grandvalet, Y				Rakotomamonjy, Alain; Bach, Francis R.; Canu, Stephane; Grandvalet, Yves			SimpleMKL	JOURNAL OF MACHINE LEARNING RESEARCH												Multiple kernel learning (MKL) aims at simultaneously learning a kernel and the associated predictor in supervised learning settings. For the support vector machine, an efficient and general multiple kernel learning algorithm, based on semi-infinite linear programming, has been recently proposed. This approach has opened new perspectives since it makes MKL tractable for large-scale problems, by iteratively using existing support vector machine code. However, it turns out that this iterative algorithm needs numerous iterations for converging towards a reasonable solution. In this paper, we address the MKL problem through a weighted 2-norm regularization formulation with an additional constraint on the weights that encourages sparse kernel combinations. Apart from learning the combination, we solve a standard SVM optimization problem, where the kernel is defined as a linear combination of multiple kernels. We propose an algorithm, named SimpleMKL, for solving this MKL problem and provide a new insight on MKL algorithms based on mixed-norm regularization by showing that the two approaches are equivalent. We show how SimpleMKL can be applied beyond binary classification, for problems like regression, clustering (one-class classification) or multiclass classification. Experimental results show that the proposed algorithm converges rapidly and that its efficiency compares favorably to other MKL algorithms. Finally, we illustrate the usefulness of MKL for some regressors based on wavelet kernels and on some model selection problems related to multiclass classification problems.																	1532-4435					NOV	2008	9						2491	2521								WOS:000262637600004		
J	Lin, CF; Wang, SD				Lin, CF; Wang, SD			Fuzzy support vector machines	IEEE TRANSACTIONS ON NEURAL NETWORKS												A support vector machine (SVM) learns the decision surface from two distinct classes of the input points. In many applications, each input point may not be fully assigned to one of these two classes. In this paper, we apply a fuzzy membership to each input point and reformulate the SVMs such that different input points can make different constributions to the learning of decision surface. We call the proposed method fuzzy SVMs (FSVMs).																	1045-9227					MAR	2002	13	2					464	471	PII S1045-9227(02)01807-6	10.1109/72.991432						WOS:000174519400019	18244447	
J	Anderson, RP; Lew, D; Peterson, AT				Anderson, RP; Lew, D; Peterson, AT			Evaluating predictive models of species' distributions: criteria for selecting optimal models	ECOLOGICAL MODELLING												The Genetic Algorithm for Rule-Set Prediction (GARP) is one of several current approaches to modeling species' distributions using occurrence records and environmental data. Because of stochastic elements in the algorithm and underdetermination of the system (multiple solutions with the same value for the optimization criterion), no unique solution is produced. Furthermore, current implementations of GARP utilize only presence data-rather than both presence and absence, the more general case. Hence, variability among GARP models, which is typical of genetic algorithms, and complications in interpreting results based on asymmetrical (presence-only) input data make model selection critical. Generally, some locality records are randomly selected to build a distributional model, with others set aside to evaluate it. Here, we use intrinsic and extrinsic measures of model performance to determine whether optimal models can be identified based on objective intrinsic criteria, without resorting to an independent test data set. We modeled potential distributions of two rodents (Heteromys anomalus and Microryzomys minutus) and one passerine bird (Carpodacus mexicanus), creating 20 models for each species. For each model, we calculated intrinsic and extrinsic measures of omission and commission error, as well as composite indices of overall error. Although intrinsic and extrinsic composite measures of overall model performance were sometimes loosely related to each other, none was consistently associated with expert-judged model quality. In contrast, intrinsic and extrinsic measures were highly correlated for both omission and commission in the two widespread species (H. anomalus and C mexicanus). Furthermore, a clear inverse relationship existed between omission and commission there, and the best models were consistently found at low levels of omission and moderate-to-high commission values. In contrast, all models for M. minutus showed low values of both omission and commission. Because models are based only on presence data (and not all areas are adequately sampled), the corm-nission index reflects not only true commission error but also a component that results from undersampled areas that the species actually inhabits. We here propose an operational procedure for determining an optimal region of the omission/commission relationship and thus selecting high-quality GARP models. Our implementation of this technique for H. anomalus gave a much more reasonable estimation of the species' potential distribution than did the original suite of models. These findings are relevant to evaluation of other distributional-modeling techniques based on presence-only data and should also be considered with other machine-learning applications modified for use with asymmetrical input data. (C) 2002 Elsevier Science B.V. All rights reserved.				Peterson, A. Townsend/I-5697-2013	Peterson, A. Townsend/0000-0003-0243-2379												0304-3800	1872-7026				APR 15	2003	162	3					211	232	PII S0304-3800(02)00349-6	10.1016/S0304-3800(02)00349-6						WOS:000182470200003		
J	Mountrakis, G; Im, J; Ogole, C				Mountrakis, Giorgos; Im, Jungho; Ogole, Caesar			Support vector machines in remote sensing: A review	ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING												A wide range of methods for analysis or airborne- and satellite-derived imagery continues to be proposed and assessed. In this paper, we review remote sensing implementations of support vector machines (SVMs), a promising machine learning methodology. This review is timely due to the exponentially increasing number of works published in recent years. SVMs are particularly appealing in the remote sensing field due to their ability to generalize well even with limited training samples, a common limitation for remote sensing applications. However, they also suffer from parameter assignment issues that can significantly affect obtained results. A summary of empirical results is provided for various applications of over one hundred published works (as of April, 2010). It is our hope that this survey will provide guidelines for future applications of SVMs and possible areas of algorithm enhancement. (C) 2010 International Society for Photogrammetry and Remote Sensing, Inc. (ISPRS). Published by Elsevier B.V. All rights reserved.					Im, Jungho/0000-0002-4506-6877												0924-2716					MAY	2011	66	3					247	259		10.1016/j.isprsjprs.2010.11.001						WOS:000288641400001		
J	Shan, CF; Gong, SG; McOwan, PW				Shan, Caifeng; Gong, Shaogang; McOwan, Peter W.			Facial expression recognition based on Local Binary Patterns: A comprehensive study	IMAGE AND VISION COMPUTING												Automatic facial expression analysis is an interesting and challenging problem, and impacts important applications in many areas such as human-computer interaction and data-driven animation. Deriving an effective facial representation from original face images is a vital step for successful facial expression recognition. In this paper, we empirically evaluate facial representation based on statistical local features, Local Binary Patterns, for person-independent facial expression recognition. Different machine learning methods are systematically examined on several databases. Extensive experiments illustrate that LBP features are effective and efficient for facial expression recognition. We further formulate Boosted-LBP to extract the most discriminant LBP features, and the best recognition performance is obtained by using Support Vector Machine classifiers with Boosted-LBP features. Moreover, we investigate LBP features for low-resolution facial expression recognition, which is a critical problem but seldom addressed in the existing work. We observe in our experiments that LBP features perform stably and robustly over a useful range of low resolutions of face images, and yield promising performance in Compressed low-resolution video sequences captured in real-world environments. (C) 2008 Elsevier B.V. All rights reserved.																	0262-8856					MAY 4	2009	27	6					803	816		10.1016/j.imavis.2008.08.005						WOS:000265807000019		
S	Rosten, E; Drummond, T		Leonardis, A; Bischof, H; Pinz, A		Rosten, E; Drummond, T			Machine learning for high-speed corner detection	COMPUTER VISION - ECCV 2006 , PT 1, PROCEEDINGS	LECTURE NOTES IN COMPUTER SCIENCE				9th European Conference on Computer Vision (ECCV 2006)	MAY 07-13, 2006	Graz, AUSTRIA	Adv Comp Vis, Graz Univ Technol, Univ Ljubljana				Where feature points are used in real-time frame-rate applications, a high-speed feature detector is necessary. Feature detectors such as SIFT (DoG), Harris and SUSAN are good methods which yield high quality features, however they are too computationally intensive for use in real-time applications of any complexity. Here we show that machine learning can be used to derive a feature detector which can fully process live PAL video using less than 7% of the available processing time. By comparison neither the Harris detector (120%) nor the detection stage of SIFT (300%) can operate at full frame rate. Clearly a high-speed detector is of limited use if the features produced are unsuitable for downstream processing. In particular, the same scene viewed from two different positions should yield features which correspond to the same real-world 3D locations[1]. Hence the second contribution of this paper is a comparison corner detectors based on this criterion applied to 3D scenes. This comparison supports a number of claims made elsewhere concerning existing corner detectors. Further, contrary to our initial expectations, we show that despite being principally constructed for speed, our detector significantly outperforms existing feature detectors according to this criterion.				Drummond, Tom/A-4696-2011	Drummond, Tom/0000-0001-8204-5904												0302-9743		3-540-33832-2				2006	3951		1				430	443								WOS:000237552900034		
J	Sonnenburg, S; Ratsch, G; Schafer, C; Scholkopf, B				Sonnenburg, Soeren; Raetsch, Gunnar; Schaefer, Christin; Schoelkopf, Bernhard			Large scale multiple kernel learning	JOURNAL OF MACHINE LEARNING RESEARCH												While classical kernel-based learning algorithms are based on a single kernel, in practice it is often desirable to use multiple kernels. Lanckriet et al. (2004) considered conic combinations of kernel matrices for classification, leading to a convex quadratically constrained quadratic program. We show that it can be rewritten as a semi-infinite linear program that can be efficiently solved by recycling the standard SVM implementations. Moreover, we generalize the formulation and our method to a larger class of problems, including regression and one-class classification. Experimental results show that the proposed algorithm works for hundred thousands of examples or hundreds of kernels to be combined, and helps for automatic model selection, improving the interpretability of the learning result. In a second part we discuss general speed up mechanism for SVMs, especially when used with sparse feature maps as appear for string kernels, allowing us to train a string kernel SVM on a 10 million real-world splice data set from computational biology. We integrated multiple kernel learning in our machine learning toolbox SHOGUN for which the source code is publicly available at http://www.fml.tuebingen.mpg.de/raetsch/projects/shogun.				Ratsch, Gunnar/B-8182-2009; Sonnenburg, Soeren/F-2230-2010; Scholkopf, Bernhard/A-7570-2013													1532-4435					JUL	2006	7						1531	1565								WOS:000245388800016		
J	Liang, NY; Huang, GB; Saratchandran, P; Sundararajan, N				Liang, Nan-Ying; Huang, Guang-Bin; Saratchandran, P.; Sundararajan, N.			A fast and accurate online sequential learning algorithm for feedforward networks	IEEE TRANSACTIONS ON NEURAL NETWORKS												In this paper, we develop an online sequential learning algorithm for single hidden layer feedforward networks (SLFNs) with. additive or radial basis function (RBF) hidden nodes in a unified framework. The algorithm is referred to as online sequential extreme learning machine (OS-ELM) and can learn data one-by-one or chunk-by-chunk (a block of data) with fixed or varying chunk size. The activation functions for additive nodes in OS-ELM can be any bounded nonconstant piecewise continuous functions and the activation functions for RBF nodes can be any integrable piecewise continuous functions. In OS-ELM, the parameters of hidden nodes (the input weights and biases of additive nodes or the centers and impact factors of RBF nodes) are randomly selected and the output weights are analytically determined based on the sequentially arriving data. The algorithm uses the ideas of ELM of Huang et al. developed for batch learning which has been shown to be extremely fast with generalization performance better than other batch training methods. Apart from selecting the number of hidden nodes, no other control parameters have to be manually chosen. Detailed performance comparison of OS-ELM is done with other popular sequential learning algorithms on benchmark problems drawn from the regression, classification and time series prediction areas. The results show that the OS-ELM is faster than the other sequential algorithms and produces better generalization performance.				Huang, Guang-Bin/A-5035-2011	Huang, Guang-Bin/0000-0002-2480-4965												1045-9227					NOV	2006	17	6					1411	1423		10.1109/TNN.2006.880583						WOS:000241933100006	17131657	
J	AGRAWAL, R; IMIELINSKI, T; SWAMI, A				AGRAWAL, R; IMIELINSKI, T; SWAMI, A			DATABASE MINING - A PERFORMANCE PERSPECTIVE	IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING												We present our perspective of database mining as the confluence of machine learning techniques and the performance emphasis of database technology. We describe three classes of database mining problems involving classification, associations, and sequences, and argue that these problems can be uniformly viewed as requiring discovery of rules embedded in massive data. We describe a model and some basic operations for the process of rule discovery. We show how the database mining problems we consider map to this model and how they can be solved by using the basic operations we propose. We give an example of an algorithm for classification obtained by combining the basic rule discovery operations. This algorithm not only is efficient in discovering classification rules but also has accuracy comparable to ID3, one of the current best classifiers.																	1041-4347					DEC	1993	5	6					914	925		10.1109/69.250074						WOS:A1993MQ44300003		
B	Pang, B; Lee, L; Vaithyanathan, S		Hajic, J; Matsumoto, Y		Pang, B; Lee, L; Vaithyanathan, S			Thumbs up? Sentiment classification using machine learning techniques	PROCEEDINGS OF THE 2002 CONFERENCE ON EMPIRICAL METHODS IN NATURAL LANGUAGE PROCESSING					Conference on Empirical Methods in Natural Language Processing	JUL 06-07, 2002	Philadelphia, PA	Justsystem Corp, CLAIRVOYANCE Corp				We consider the problem of classifying documents not by topic, but by overall sentiment, e.g., determining whether a review is positive or negative. Using movie reviews as data, we find that standard machine learning techniques definitively outperform human-produced baselines. However, the three machine learning methods we employed (Naive Bayes, maximum entropy classification, and support vector machines) do not perform as well on sentiment classification as on traditional topic-based categorization. We conclude by examining factors that make the sentiment classification problem more challenging.																							2002							79	86								WOS:000223079900011		
J	Devasia, S; Eleftheriou, E; Moheimani, SOR				Devasia, Santosh; Eleftheriou, Evangelos; Moheimani, S. O. Reza			A survey of control issues in nanopositioning	IEEE TRANSACTIONS ON CONTROL SYSTEMS TECHNOLOGY												Nanotechnology is the science of understanding matter and the control of matter at dimensions of 100 nm or less. Encompassing nanoscale science, engineering, and technology, nanotechnology involves imaging, measuring, modeling, and manipulation of matter at, this level of precision. An important aspect of research in nanotechnology involves precision control and manipulation of devices and materials at a nanoscale, i.e., nanopositioning. Nanopositioners are precision mechatronic systems designed to move objects over a small range with a resolution down to a fraction of an atomic diameter. The desired attributes of a nanopositioner are extremely high resolution, accuracy, stability, and fast response. The key to successful nanopositioning is accurate position sensing and feedback control of the motion. This paper presents an overview of nanopositioning technologies and devices emphasizing the key role of advanced control techniques in improving precision, accuracy, and speed of operation of these systems.				Moheimani, S. O. Reza/B-3033-2008													1063-6536	1558-0865				SEP	2007	15	5					802	823		10.1109/TCST.2007.903345						WOS:000249161300002		
J	Zhang, ML; Zhou, ZH				Zhang, Min-Ling; Zhou, Zhi-Hua			ML-KNN: A lazy learning approach to multi-label leaming	PATTERN RECOGNITION												Multi-label learning originated from the investigation of text categorization problem, where each document may belong to several predefined topics simultaneously. In multi-label learning, the training set is composed of instances each associated with a set of labels, and the task is to predict the label sets of unseen instances through analyzing training instances with known label sets. In this paper, a multi-label lazy learning approach named ML-KNN is presented, which is derived from the traditional K-nearest neighbor (KNN) algorithm. In detail, for each unseen instance, its K nearest neighbors in the training set are firstly identified. After that, based on statistical information gained from the label sets of these neighboring instances, i.e. the number of neighboring instances belonging to each possible class, maximum a posteriori (MAP) principle is utilized to determine the label set for the unseen instance. Experiments on three different real-world multi-label learning problems, i.e. Yeast gene functional analysis, natural scene classification and automatic web page categorization, show that ML-KNN achieves superior performance to some well-established multi-label learning algorithms. (c) 2007 Pattern Recognition Society. Published by Elsevier Ltd. All rights reserved.																	0031-3203					JUL	2007	40	7					2038	2048		10.1016/j.patcog.2006.12.019						WOS:000246332300016		
J	Pereira, F; Mitchell, T; Botvinick, M				Pereira, Francisco; Mitchell, Tom; Botvinick, Matthew			Machine learning classifiers and fMRI: A tutorial overview	NEUROIMAGE					Workshop on Mathematics in Brain Imaging	JUL 14-25, 2008	Univ Calif Los Angeles, Inst Pure & Appl Math, Los Angeles, CA		Univ Calif Los Angeles, Inst Pure & Appl Math			Interpreting brain image experiments requires analysis of complex, multivariate data. In recent years, one analysis approach that has grown in popularity is the use of machine learning algorithms to train classifiers to decode stimuli, mental states, behaviours and other variables of interest from fMRI data and thereby show the data contain information about them. In this tutorial overview we review some of the key choices faced in using this approach as well as how to derive statistically significant results, illustrating each point from a case study. Furthermore, we show how, in addition to answering the question of 'is there information about a variable of interest' (pattern discrimination), classifiers can be used to tackle other classes of question, namely 'where is the information' (pattern localization) and 'how is that information encoded' (pattern characterization). (C) 2008 Elsevier Inc. All rights reserved.																	1053-8119					MAR	2009	45	1					S199	S209		10.1016/j.neuroimage.2008.11.007						WOS:000263862600018	19070668	
J	Liu, Y; Zhang, DS; Lu, GJ; Ma, WY				Liu, Ying; Zhang, Dengsheng; Lu, Guojun; Ma, Wei-Ying			A survey of content-based image retrieval with high-level semantics	PATTERN RECOGNITION												In order to improve the retrieval accuracy of content-based image retrieval systems, research focus has been shifted from designing sophisticated low-level feature extraction algorithms to reducing the 'semantic gap' between the visual features and the richness of human semantics. This paper attempts to provide a comprehensive survey of the recent technical achievements in high-level semantic-based image retrieval. Major recent publications are included in this survey covering different aspects of the research in this area, including low-level image feature extraction, similarity measurement, and deriving high-level semantic features. We identify five major categories of the state-of-the-art techniques in narrowing down the 'semantic gap': (1) using object ontology to define high-level concepts; (2) using machine learning methods to associate low-level features with query concepts; (3) using relevance feedback to learn users' intention; (4) generating semantic template to support high-level image retrieval; (5) fusing the evidences from HTML text and the visual content of images for WWW image retrieval. In addition, some other related issues such as image test bed and retrieval performance evaluation are also discussed. Finally, based on existing technology and the demand from real-world applications, a few promising future research directions are suggested. (c) 2006 Pattern Recognition Society. Published by Elsevier Ltd. All rights reserved.																	0031-3203	1873-5142				JAN	2007	40	1					262	282		10.1016/j.patcog.2006.04.045						WOS:000241837300020		
J	Thrun, S; Montemerlo, M; Dahlkamp, H; Stavens, D; Aron, A; Diebel, J; Fong, P; Gale, J; Halpenny, M; Hoffmann, G; Lau, K; Oakley, C; Palatucci, M; Pratt, V; Stang, P; Strohband, S; Dupont, C; Jendrossek, LE; Koelen, C; Markey, C; Rummel, C; van Niekerk, J; Jensen, E; Alessandrini, P; Bradski, G; Davies, B; Ettinger, S; Kaehler, A; Nefian, A; Mahoney, P				Thrun, Sebastian; Montemerlo, Mike; Dahlkamp, Hendrik; Stavens, David; Aron, Andrei; Diebel, James; Fong, Philip; Gale, John; Halpenny, Morgan; Hoffmann, Gabriel; Lau, Kenny; Oakley, Celia; Palatucci, Mark; Pratt, Vaughan; Stang, Pascal; Strohband, Sven; Dupont, Cedric; Jendrossek, Lars-Erik; Koelen, Christian; Markey, Charles; Rummel, Carlo; van Niekerk, Joe; Jensen, Eric; Alessandrini, Philippe; Bradski, Gary; Davies, Bob; Ettinger, Scott; Kaehler, Adrian; Nefian, Ara; Mahoney, Pamela			Stanley: The robot that won the DARPA Grand Challenge	JOURNAL OF FIELD ROBOTICS												This article describes the robot Stanley, which won the 2005 DARPA Grand Challenge. Stanley was developed for high-speed desert driving without manual intervention. The robot's software system relied predominately on state-of-the-art artificial intelligence technologies, such as machine learning and probabilistic reasoning. This paper describes the major components of this architecture, and discusses the results of the Grand Challenge race. (c) 2006 Wiley Periodicals, Inc.					Fong, Philip/0000-0003-3525-8194												1556-4959					SEP	2006	23	9					661	692		10.1002/rob.20147						WOS:000246146900004		
